0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
OLFM1_ENSTGUG00000006000.2,ATP1B1_ENSTGUG00000013431.2,STMN1_ENSTGUG00000017327.2,APP_ENSTGUG00000013557.2,CD74_ENSTGUG00000000882.2,VIM_ENSTGUG00000001298.2,EPAS1_ENSTGUG00000003933.2,TMSB4X_ENSTGUG00000008243.2,SLC1A2_ENSTGUG00000021059.1,PLP1_ENSTGUG00000006519.2,SLC1A2_ENSTGUG00000021059.1,CALM2_ENSTGUG00000002581.2,RPS23_ENSTGUG00000017554.2,_ENSTGUG00000019883.1,EPAS1_ENSTGUG00000003933.2,TUBB2A_ENSTGUG00000028536.1,_ENSTGUG00000027908.1,EGF_ENSTGUG00000004206.2,SPARC_ENSTGUG00000000770.2,SNAP25_ENSTGUG00000006133.2,PLP1_ENSTGUG00000006519.2,APOH_ENSTGUG00000004239.2,EGF_ENSTGUG00000004206.2
APP_ENSTGUG00000013557.2,CPE_ENSTGUG00000005938.2,TUBB2A_ENSTGUG00000028536.1,GRIA2_ENSTGUG00000005484.2,_ENSTGUG00000019883.1,EGF_ENSTGUG00000004206.2,CFD_ENSTGUG00000000656.2,_ENSTGUG00000019883.1,GJA1_ENSTGUG00000011847.2,CNP_ENSTGUG00000002478.2,APOA1_ENSTGUG00000021957.1,CALM1_ENSTGUG00000019117.1,RPS29_ENSTGUG00000021284.1,_ENSTGUG00000026378.1,_ENSTGUG00000023209.1,NSG2_ENSTGUG00000000333.2,HBAD_ENSTGUG00000004381.2,VIM_ENSTGUG00000001298.2,PTN_ENSTGUG00000025134.1,OLFM1_ENSTGUG00000006000.2,MBP_ENSTGUG00000009051.2,PLP1_ENSTGUG00000006519.2,VIM_ENSTGUG00000001298.2
GRIA2_ENSTGUG00000005484.2,APP_ENSTGUG00000013557.2,TUBA1B_ENSTGUG00000010166.2,OLFM1_ENSTGUG00000006000.2,TMSB4X_ENSTGUG00000008243.2,CST3_ENSTGUG00000006006.2,SLC16A7_ENSTGUG00000029204.1,_ENSTGUG00000015659.2,SLC1A3_ENSTGUG00000002032.2,_ENSTGUG00000019689.1,SLC1A3_ENSTGUG00000002032.2,VSNL1_ENSTGUG00000013109.2,RPL35A_ENSTGUG00000009679.2,_ENSTGUG00000015659.2,PLTP_ENSTGUG00000006044.2,RTN1_ENSTGUG00000013003.2,HBAA_ENSTGUG00000004372.2,AGT_ENSTGUG00000009957.2,PTPRZ1_ENSTGUG00000004543.2,CHN1_ENSTGUG00000008848.2,PLLP_ENSTGUG00000005247.2,MBP_ENSTGUG00000009051.2,_ENSTGUG00000019387.1
CLSTN1_ENSTGUG00000003610.2,SST_ENSTGUG00000027783.1,TMSB15B_ENSTGUG00000006515.2,CLSTN1_ENSTGUG00000003610.2,_ENSTGUG00000023468.1,MLC1_ENSTGUG00000003918.2,PLTP_ENSTGUG00000006044.2,RPS12_ENSTGUG00000021418.1,APOA1_ENSTGUG00000021957.1,MBP_ENSTGUG00000009051.2,CLU_ENSTGUG00000028547.1,NRGN_ENSTGUG00000028781.1,RPL23_ENSTGUG00000002167.2,_ENSTGUG00000023468.1,CFD_ENSTGUG00000000656.2,TUBA1B_ENSTGUG00000010166.2,H1-0_ENSTGUG00000010521.2,SPARC_ENSTGUG00000000770.2,COLEC12_ENSTGUG00000010195.2,ARHGEF9_ENSTGUG00000005598.2,APOH_ENSTGUG00000004239.2,BSG_ENSTGUG00000000614.2,CD74_ENSTGUG00000000882.2
SERPINI1_ENSTGUG00000011067.2,ATP6V0C_ENSTGUG00000003256.2,MAP1B_ENSTGUG00000005669.2,NELL2_ENSTGUG00000005974.2,C1QB_ENSTGUG00000024860.1,SDC2_ENSTGUG00000019500.1,BSG_ENSTGUG00000000614.2,CD74_ENSTGUG00000000882.2,AGT_ENSTGUG00000009957.2,PLLP_ENSTGUG00000005247.2,GLUL_ENSTGUG00000017345.2,SNAP25_ENSTGUG00000006133.2,PFN1_ENSTGUG00000021125.1,CD74_ENSTGUG00000000882.2,POLR2B_ENSTGUG00000002929.2,OLFM1_ENSTGUG00000006000.2,_ENSTGUG00000026720.1,GPM6B_ENSTGUG00000008166.2,FABP7_ENSTGUG00000011826.2,CALM2_ENSTGUG00000002581.2,UGT8_ENSTGUG00000001840.2,SLC16A7_ENSTGUG00000029204.1,C1QB_ENSTGUG00000024860.1
_ENSTGUG00000022310.1,SLC32A1_ENSTGUG00000004537.2,NR2F2_ENSTGUG00000008599.2,SLC17A6_ENSTGUG00000004570.2,RPS12_ENSTGUG00000021418.1,_ENSTGUG00000007086.2,_ENSTGUG00000023209.1,_ENSTGUG00000023468.1,EGF_ENSTGUG00000004206.2,VAMP8_ENSTGUG00000020301.1,AGT_ENSTGUG00000009957.2,CHN1_ENSTGUG00000008848.2,_ENSTGUG00000026907.1,_ENSTGUG00000023451.1,_ENSTGUG00000019957.1,APP_ENSTGUG00000013557.2,_ENSTGUG00000015659.2,FABP7_ENSTGUG00000011826.2,_ENSTGUG00000007756.2,ARPP21_ENSTGUG00000001697.2,ENPP2_ENSTGUG00000012352.2,RHOA_ENSTGUG00000006623.2,_ENSTGUG00000026993.1
NELL2_ENSTGUG00000005974.2,_ENSTGUG00000012363.2,ZBTB18_ENSTGUG00000008247.2,SCG5_ENSTGUG00000011734.2,SAT1_ENSTGUG00000007289.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000021641.1,BEST1_ENSTGUG00000005934.2,ATP1A2_ENSTGUG00000027873.1,CRYAB_ENSTGUG00000000320.2,LTF_ENSTGUG00000006576.2,SNCA_ENSTGUG00000003065.2,RPL34_ENSTGUG00000027399.1,TMSB4X_ENSTGUG00000008243.2,RGS4_ENSTGUG00000027221.1,GRIN2B_ENSTGUG00000009456.2,CA2_ENSTGUG00000011728.2,GJA1_ENSTGUG00000011847.2,SERPINE2_ENSTGUG00000007943.2,VSNL1_ENSTGUG00000013109.2,_ENSTGUG00000023451.1,ENPP2_ENSTGUG00000012352.2,RPL39_ENSTGUG00000003411.2
GPM6A_ENSTGUG00000006358.2,_ENSTGUG00000020792.1,BASP1_ENSTGUG00000007269.2,SERINC1_ENSTGUG00000011827.2,C1QC_ENSTGUG00000019687.1,RPS29_ENSTGUG00000021284.1,_ENSTGUG00000022686.1,RPS20_ENSTGUG00000011097.2,GRM3_ENSTGUG00000002399.2,ERMN_ENSTGUG00000029473.1,GPM6B_ENSTGUG00000008166.2,CPLX2_ENSTGUG00000023893.1,_ENSTGUG00000024584.1,RPS12_ENSTGUG00000021418.1,_ENSTGUG00000000842.2,NRXN1_ENSTGUG00000005731.2,_ENSTGUG00000026838.1,CLU_ENSTGUG00000028547.1,TUB_ENSTGUG00000008407.2,MAP2_ENSTGUG00000011322.2,CNP_ENSTGUG00000002478.2,CNP_ENSTGUG00000002478.2,RPS12_ENSTGUG00000021418.1
SYT1_ENSTGUG00000007572.2,DNER_ENSTGUG00000008311.2,_ENSTGUG00000007364.2,_ENSTGUG00000022310.1,_ENSTGUG00000015659.2,RPS13_ENSTGUG00000008572.2,_ENSTGUG00000021664.1,PFN1_ENSTGUG00000021125.1,CLU_ENSTGUG00000028547.1,APOH_ENSTGUG00000004239.2,GJA1_ENSTGUG00000011847.2,UCHL1_ENSTGUG00000008638.2,RPLP2_ENSTGUG00000009801.2,C1QB_ENSTGUG00000024860.1,BSG_ENSTGUG00000000614.2,NELL2_ENSTGUG00000005974.2,AK2_ENSTGUG00000026076.1,NMT2_ENSTGUG00000001356.2,TNR_ENSTGUG00000017420.2,YKT6_ENSTGUG00000021816.1,_ENSTGUG00000019689.1,HMOX1_ENSTGUG00000010842.2,SAT1_ENSTGUG00000007289.2
_ENSTGUG00000004094.2,SYT1_ENSTGUG00000007572.2,_ENSTGUG00000009794.2,GPM6A_ENSTGUG00000006358.2,_ENSTGUG00000013513.2,FABP7_ENSTGUG00000011826.2,ITM2A_ENSTGUG00000002582.2,C1QB_ENSTGUG00000024860.1,GPM6B_ENSTGUG00000008166.2,_ENSTGUG00000008412.2,ATP1A2_ENSTGUG00000027873.1,_ENSTGUG00000024929.1,RPL37A_ENSTGUG00000005107.2,APP_ENSTGUG00000013557.2,CALD1_ENSTGUG00000012449.2,_ENSTGUG00000028956.1,BEST1_ENSTGUG00000005934.2,SLC1A2_ENSTGUG00000021059.1,NCAN_ENSTGUG00000019059.1,NRGN_ENSTGUG00000028781.1,_ENSTGUG00000026378.1,EPAS1_ENSTGUG00000003933.2,RPL23_ENSTGUG00000002167.2
ATP1B1_ENSTGUG00000013431.2,VSTM2A_ENSTGUG00000023664.1,TUBB3_ENSTGUG00000023461.1,CPE_ENSTGUG00000005938.2,BEST1_ENSTGUG00000005934.2,CIRBP_ENSTGUG00000000884.2,EFEMP1_ENSTGUG00000006870.2,_ENSTGUG00000026907.1,GLUL_ENSTGUG00000017345.2,UGT8_ENSTGUG00000001840.2,_ENSTGUG00000013071.2,SNCB_ENSTGUG00000000512.2,RPS11_ENSTGUG00000000582.2,BEST1_ENSTGUG00000005934.2,TIMP3_ENSTGUG00000026320.1,STMN1_ENSTGUG00000017327.2,CIAO2A_ENSTGUG00000009827.2,SLC1A3_ENSTGUG00000002032.2,PODXL2_ENSTGUG00000008022.2,CALM1_ENSTGUG00000019117.1,_ENSTGUG00000021267.1,UGT8_ENSTGUG00000001840.2,PNRC1_ENSTGUG00000012423.2
SLC17A6_ENSTGUG00000004570.2,THY1_ENSTGUG00000000398.2,CELF2_ENSTGUG00000002136.2,SYT1_ENSTGUG00000007572.2,ASAH1_ENSTGUG00000007052.2,RPL37A_ENSTGUG00000005107.2,JCAD_ENSTGUG00000001046.2,_ENSTGUG00000029470.1,AQP4_ENSTGUG00000020250.1,DAB1_ENSTGUG00000009639.2,_ENSTGUG00000026378.1,PPP3CA_ENSTGUG00000003527.2,RPL14_ENSTGUG00000026863.1,_ENSTGUG00000029470.1,C11orf96_ENSTGUG00000010210.2,ZBTB18_ENSTGUG00000008247.2,FTH1_ENSTGUG00000005913.2,MLC1_ENSTGUG00000003918.2,SPOCK3_ENSTGUG00000006005.2,GRIN1_ENSTGUG00000002568.2,_ENSTGUG00000024606.1,_ENSTGUG00000019689.1,EEF1B2_ENSTGUG00000009931.2
NPTXR_ENSTGUG00000024678.1,_ENSTGUG00000006670.2,GNG10_ENSTGUG00000001275.2,RTN1_ENSTGUG00000013003.2,IFI30_ENSTGUG00000000388.2,RPL35A_ENSTGUG00000009679.2,SLC2A1_ENSTGUG00000002201.2,_ENSTGUG00000019166.1,_ENSTGUG00000009552.2,_ENSTGUG00000013282.2,FABP7_ENSTGUG00000011826.2,MAP2_ENSTGUG00000011322.2,RPL32_ENSTGUG00000010472.2,ATP1B1_ENSTGUG00000013431.2,COLEC10_ENSTGUG00000019400.1,_ENSTGUG00000013547.2,CREG1_ENSTGUG00000019513.1,_ENSTGUG00000009552.2,_ENSTGUG00000019536.1,DNM1_ENSTGUG00000003768.2,_ENSTGUG00000007885.2,PLTP_ENSTGUG00000006044.2,RPS13_ENSTGUG00000008572.2
ATP6V0C_ENSTGUG00000003256.2,SCG5_ENSTGUG00000011734.2,RPL14_ENSTGUG00000026863.1,ATP6V0C_ENSTGUG00000003256.2,PSAP_ENSTGUG00000004140.2,SLC1A3_ENSTGUG00000002032.2,POLR2B_ENSTGUG00000002929.2,IFI30_ENSTGUG00000000388.2,_ENSTGUG00000005933.2,GLUL_ENSTGUG00000017345.2,_ENSTGUG00000005933.2,YWHAG_ENSTGUG00000004553.2,RPL18A_ENSTGUG00000006444.2,_ENSTGUG00000019166.1,RGS5_ENSTGUG00000019064.1,GPM6A_ENSTGUG00000006358.2,TXN_ENSTGUG00000001294.2,ATP1A2_ENSTGUG00000027873.1,NKX2-2_ENSTGUG00000007528.2,SLC17A6_ENSTGUG00000004570.2,_ENSTGUG00000021560.1,QKI_ENSTGUG00000009383.2,CIRBP_ENSTGUG00000000884.2
SCG5_ENSTGUG00000011734.2,CLSTN1_ENSTGUG00000003610.2,RPL13_ENSTGUG00000007874.2,_ENSTGUG00000006670.2,_ENSTGUG00000019387.1,_ENSTGUG00000019387.1,ALPL_ENSTGUG00000020178.1,RPS29_ENSTGUG00000021284.1,_ENSTGUG00000013071.2,_ENSTGUG00000023210.1,MT4_ENSTGUG00000006540.2,CAMK2A_ENSTGUG00000000887.2,RPS20_ENSTGUG00000011097.2,OLFM1_ENSTGUG00000006000.2,FN1_ENSTGUG00000002978.2,ATP1B1_ENSTGUG00000013431.2,CYB5A_ENSTGUG00000009166.2,SDC2_ENSTGUG00000019500.1,CSPG5_ENSTGUG00000021868.1,NGEF_ENSTGUG00000007310.2,_ENSTGUG00000024592.1,_ENSTGUG00000023209.1,MAFB_ENSTGUG00000025008.1
RTN1_ENSTGUG00000013003.2,CHL1_ENSTGUG00000009997.2,EEF1B2_ENSTGUG00000009931.2,ATP1B3_ENSTGUG00000008432.2,CSF1R_ENSTGUG00000000965.2,RPL32_ENSTGUG00000010472.2,_ENSTGUG00000020625.1,_ENSTGUG00000001629.2,LTF_ENSTGUG00000006576.2,_ENSTGUG00000011194.2,_ENSTGUG00000023451.1,HPCAL1_ENSTGUG00000013044.2,RPLP1_ENSTGUG00000012661.2,_ENSTGUG00000018924.1,PDXK_ENSTGUG00000021550.1,TMSB15B_ENSTGUG00000006515.2,WBP4_ENSTGUG00000023820.1,F3_ENSTGUG00000005647.2,EGF_ENSTGUG00000004206.2,DYNLL1_ENSTGUG00000009566.2,RRBP1_ENSTGUG00000005958.2,TMSB4X_ENSTGUG00000008243.2,_ENSTGUG00000012670.2
CPE_ENSTGUG00000005938.2,SERPINI1_ENSTGUG00000011067.2,EEF1A2_ENSTGUG00000007419.2,NPTXR_ENSTGUG00000024678.1,_ENSTGUG00000018924.1,_ENSTGUG00000024584.1,_ENSTGUG00000005652.2,_ENSTGUG00000018924.1,GPR37L1_ENSTGUG00000001200.2,ENPP2_ENSTGUG00000012352.2,EGF_ENSTGUG00000004206.2,TUBA1B_ENSTGUG00000010166.2,TPT1_ENSTGUG00000012322.2,_ENSTGUG00000007152.2,DCN_ENSTGUG00000008178.2,STMN2_ENSTGUG00000011625.2,_ENSTGUG00000001291.2,ID4_ENSTGUG00000006296.2,_ENSTGUG00000013282.2,CDKL5_ENSTGUG00000007769.2,THSD7A_ENSTGUG00000002402.2,CFD_ENSTGUG00000000656.2,RPS20_ENSTGUG00000011097.2
SERINC1_ENSTGUG00000011827.2,SYNPR_ENSTGUG00000018356.2,NR2F1_ENSTGUG00000027507.1,SERPINI1_ENSTGUG00000011067.2,_ENSTGUG00000029470.1,ID4_ENSTGUG00000006296.2,ABCB1_ENSTGUG00000001378.2,C1QC_ENSTGUG00000019687.1,PROM1_ENSTGUG00000009725.2,PLAAT1_ENSTGUG00000009218.2,_ENSTGUG00000006533.2,DNM1_ENSTGUG00000003768.2,RPS13_ENSTGUG00000008572.2,RPS20_ENSTGUG00000011097.2,SLC16A7_ENSTGUG00000029204.1,SCG5_ENSTGUG00000011734.2,_ENSTGUG00000028309.1,GLUL_ENSTGUG00000017345.2,SLC35F1_ENSTGUG00000028242.1,CAMTA1_ENSTGUG00000002566.2,NINJ2_ENSTGUG00000012626.2,NDRG1_ENSTGUG00000012576.2,RPS29_ENSTGUG00000021284.1
_ENSTGUG00000006670.2,RELN_ENSTGUG00000002836.2,MARCKSL1_ENSTGUG00000027588.1,_ENSTGUG00000004094.2,FERMT1_ENSTGUG00000006448.2,RPL3_ENSTGUG00000010248.2,PDXK_ENSTGUG00000021550.1,SAT1_ENSTGUG00000007289.2,HTRA1_ENSTGUG00000011319.2,_ENSTGUG00000023681.1,AQP4_ENSTGUG00000020250.1,ARHGEF9_ENSTGUG00000005598.2,RPL11_ENSTGUG00000001210.2,PFN1_ENSTGUG00000021125.1,COLEC12_ENSTGUG00000010195.2,_ENSTGUG00000025509.1,_ENSTGUG00000019119.1,CST3_ENSTGUG00000006006.2,C1QL2_ENSTGUG00000020805.1,ATP2B2_ENSTGUG00000004296.2,_ENSTGUG00000023828.1,ITM2A_ENSTGUG00000002582.2,RPLP2_ENSTGUG00000009801.2
NTS_ENSTGUG00000027877.1,ATP6AP2_ENSTGUG00000006635.2,RPL27A_ENSTGUG00000008355.2,ATP2B2_ENSTGUG00000004296.2,_ENSTGUG00000019166.1,CHCHD2_ENSTGUG00000005194.2,VWF_ENSTGUG00000011914.2,_ENSTGUG00000024584.1,PTN_ENSTGUG00000025134.1,_ENSTGUG00000022984.1,GRM3_ENSTGUG00000002399.2,OAZ1_ENSTGUG00000000312.2,RPL13_ENSTGUG00000007874.2,SERPINI1_ENSTGUG00000011067.2,_ENSTGUG00000022686.1,PODXL2_ENSTGUG00000008022.2,ZFAND2A_ENSTGUG00000008336.2,QKI_ENSTGUG00000009383.2,CPE_ENSTGUG00000005938.2,SLC4A10_ENSTGUG00000006712.2,ERMN_ENSTGUG00000029473.1,CNN3_ENSTGUG00000005620.2,CTSB_ENSTGUG00000013291.2
ATP1B3_ENSTGUG00000008432.2,NELL1_ENSTGUG00000004458.2,MEIS2_ENSTGUG00000011748.2,ATP1B1_ENSTGUG00000013431.2,_ENSTGUG00000001664.2,_ENSTGUG00000026147.1,ZNF366_ENSTGUG00000005717.2,FTH1_ENSTGUG00000005913.2,FGFR3_ENSTGUG00000010583.2,QKI_ENSTGUG00000009383.2,KCNJ10_ENSTGUG00000020285.1,MAP1A_ENSTGUG00000019635.1,RPL9_ENSTGUG00000022418.1,_ENSTGUG00000020149.1,_ENSTGUG00000021641.1,_ENSTGUG00000007364.2,HSPA2_ENSTGUG00000012929.2,MGST1_ENSTGUG00000012391.2,MARCKS_ENSTGUG00000026006.1,GRIA2_ENSTGUG00000005484.2,MPP2_ENSTGUG00000028797.1,GNAI1_ENSTGUG00000002652.2,IFI30_ENSTGUG00000000388.2
ATP1A1_ENSTGUG00000020927.1,CRHBP_ENSTGUG00000004054.2,RPS23_ENSTGUG00000017554.2,ATP2A2_ENSTGUG00000005728.2,CTSZ_ENSTGUG00000008040.2,_ENSTGUG00000018870.1,C6orf62_ENSTGUG00000029400.1,RPLP1_ENSTGUG00000012661.2,SLC4A4_ENSTGUG00000001611.2,NINJ2_ENSTGUG00000012626.2,ATP1B2_ENSTGUG00000020126.1,RBFOX1_ENSTGUG00000004562.2,RPS12_ENSTGUG00000021418.1,GRIA2_ENSTGUG00000005484.2,_ENSTGUG00000020625.1,_ENSTGUG00000025270.1,DCUN1D2_ENSTGUG00000009237.2,_ENSTGUG00000019387.1,BCAN_ENSTGUG00000023506.1,PLCB1_ENSTGUG00000006294.2,SCD_ENSTGUG00000007683.2,EFEMP1_ENSTGUG00000006870.2,RPL24_ENSTGUG00000023416.1
_ENSTGUG00000026378.1,SERINC1_ENSTGUG00000011827.2,_ENSTGUG00000022096.1,PCSK2_ENSTGUG00000002403.2,NPC2_ENSTGUG00000016271.2,RPL34_ENSTGUG00000027399.1,ST8SIA6_ENSTGUG00000001296.2,C1QA_ENSTGUG00000017238.2,F3_ENSTGUG00000005647.2,HMOX1_ENSTGUG00000010842.2,SPARC_ENSTGUG00000000770.2,_ENSTGUG00000006927.2,_ENSTGUG00000016898.2,_ENSTGUG00000001629.2,TAGLN2_ENSTGUG00000027715.1,CALM2_ENSTGUG00000002581.2,KPNA4_ENSTGUG00000011158.2,_ENSTGUG00000006533.2,SLC1A3_ENSTGUG00000002032.2,RAB6A_ENSTGUG00000013470.2,_ENSTGUG00000014961.2,UBB_ENSTGUG00000018243.2,RPLP1_ENSTGUG00000012661.2
THY1_ENSTGUG00000000398.2,DPP6_ENSTGUG00000000647.2,RPLP1_ENSTGUG00000012661.2,ATP1A1_ENSTGUG00000020927.1,_ENSTGUG00000026907.1,RPL23A_ENSTGUG00000006170.2,_ENSTGUG00000004487.2,CLTA_ENSTGUG00000000114.2,KCNJ10_ENSTGUG00000020285.1,GNG5_ENSTGUG00000021033.1,NRN1L_ENSTGUG00000022742.1,SDCBP2_ENSTGUG00000019612.1,_ENSTGUG00000022096.1,CHGB_ENSTGUG00000025948.1,SPARC_ENSTGUG00000000770.2,CPE_ENSTGUG00000005938.2,_ENSTGUG00000020512.1,PHGDH_ENSTGUG00000022462.1,MARCKSL1_ENSTGUG00000027588.1,GNAO1_ENSTGUG00000006660.2,_ENSTGUG00000004918.2,GPRC5B_ENSTGUG00000009310.2,RPL14_ENSTGUG00000026863.1
ATP2B2_ENSTGUG00000004296.2,CLSTN3_ENSTGUG00000013253.2,MARCKS_ENSTGUG00000026006.1,THY1_ENSTGUG00000000398.2,CTSB_ENSTGUG00000013291.2,_ENSTGUG00000012670.2,CNN3_ENSTGUG00000005620.2,ACTB_ENSTGUG00000004138.2,HS6ST2_ENSTGUG00000024870.1,RRBP1_ENSTGUG00000005958.2,PTN_ENSTGUG00000025134.1,ARPP21_ENSTGUG00000001697.2,DDX5_ENSTGUG00000004622.2,SYT1_ENSTGUG00000007572.2,RPLP1_ENSTGUG00000012661.2,GRIN1_ENSTGUG00000002568.2,DNAJA4_ENSTGUG00000003285.2,_ENSTGUG00000005750.2,IGFBP2_ENSTGUG00000020693.1,PPP3CA_ENSTGUG00000003527.2,SLC12A2_ENSTGUG00000006546.2,_ENSTGUG00000008412.2,TMSB4X_ENSTGUG00000008243.2
